lat,lon,timestamp,datetime,heart_rate,cadence,power
51.1774850171,3.9330649842,1525020513.0,2018-04-29 16:48:14,113.0,94.0,187.0
51.1774850171,3.9330649842,1525020514.0,2018-04-29 16:48:15,113.0,94.0,192.0
51.1774850171,3.9330649842,1525020515.0,2018-04-29 16:48:16,113.0,94.0,173.0
51.1774850171,3.9330649842,1525020516.0,2018-04-29 16:48:17,113.0,93.0,172.0
51.1774850171,3.9330649842,1525020517.0,2018-04-29 16:48:18,114.0,93.0,178.0
51.1774850171,3.9330649842,1525020518.0,2018-04-29 16:48:19,114.0,93.0,188.0
51.1774850171,3.9330649842,1525020519.0,2018-04-29 16:48:20,114.0,94.0,193.0
51.1774850171,3.9330649842,1525020520.0,2018-04-29 16:48:21,114.0,94.0,172.0
51.1774850171,3.9330649842,1525020521.0,2018-04-29 16:48:22,114.0,94.0,183.0
51.1774850171,3.9330649842,1525020522.0,2018-04-29 16:48:23,114.0,94.0,178.0
51.1774850171,3.9330649842,1525020523.0,2018-04-29 16:48:24,115.0,94.0,196.0
51.1774850171,3.9330649842,1525020524.0,2018-04-29 16:48:25,115.0,95.0,184.0
51.1774850171,3.9330649842,1525020525.0,2018-04-29 16:48:26,115.0,95.0,200.0
51.1774850171,3.9330649842,1525020526.0,2018-04-29 16:48:27,115.0,96.0,189.0
51.1774850171,3.9330649842,1525020527.0,2018-04-29 16:48:28,116.0,97.0,196.0
51.1774850171,3.9330649842,1525020528.0,2018-04-29 16:48:29,116.0,97.0,198.0
51.1774850171,3.9330649842,1525020529.0,2018-04-29 16:48:30,117.0,97.0,191.0
51.1774850171,3.9330649842,1525020530.0,2018-04-29 16:48:31,117.0,97.0,194.0
51.1774850171,3.9330649842,1525020531.0,2018-04-29 16:48:32,117.0,97.0,185.0
51.1774850171,3.9330649842,1525020532.0,2018-04-29 16:48:33,117.0,96.0,184.0
51.1774850171,3.9330649842,1525020533.0,2018-04-29 16:48:34,118.0,97.0,203.0
51.1774850171,3.9330649842,1525020534.0,2018-04-29 16:48:35,118.0,98.0,195.0
